"","YEAR","NUMB_VEHC","CITY","AGE_DRVR_YNGST","AGE_DRVR_OLDEST","SPEED_LIMIT"
"303",2013,3,"Boston","25-34",">84",45
"304",2013,2,"Boston","25-34","35-44",45
"305",2013,2,"Boston","25-34","25-34",NA
"306",2013,1,"Boston","35-44","35-44",30
"307",2013,3,"Boston","21-24","55-64",25
"308",2013,2,"Boston","35-44","45-54",25
"309",2013,1,"Boston","35-44","35-44",35
"310",2013,2,"Boston","45-54","55-64",30
"311",2013,3,"Boston","45-54","45-54",55
"312",2013,3,"Boston","21-24","55-64",45
"313",2013,2,"Boston","45-54","55-64",25
"314",2013,2,"Boston","35-44","65-74",NA
"315",2013,2,"Boston","18-20","55-64",35
"316",2013,1,"Boston","21-24","21-24",35
"317",2013,2,"Boston","25-34","75-84",45
"318",2013,2,"Boston","25-34","35-44",45
"319",2013,1,"Boston","25-34","25-34",35
"320",2013,2,"Boston","21-24","55-64",40
"321",2013,2,"Boston","25-34","45-54",25
"322",2013,2,"Boston","25-34","35-44",55
"323",2013,3,"Boston","18-20","45-54",55
"324",2013,1,"Boston",NA,NA,35
"325",2013,2,"Boston","21-24","21-24",45
"326",2013,2,"Boston","45-54","75-84",35
"327",2013,2,"Boston","35-44","55-64",30
"328",2013,4,"Boston","25-34","45-54",45
"329",2013,2,"Boston","25-34","25-34",30
"330",2013,3,"Boston","25-34","45-54",55
"331",2013,2,"Boston","35-44","45-54",30
"332",2013,2,"Boston",NA,NA,30
"333",2013,2,"Boston","21-24","45-54",30
"334",2013,2,"Boston","21-24","65-74",35
"335",2013,3,"Boston","25-34","45-54",45
"336",2013,4,"Boston","35-44","55-64",55
"337",2013,1,"Boston","21-24","21-24",55
"338",2013,2,"Boston","35-44","45-54",15
"339",2013,3,"Boston","21-24","25-34",45
"340",2013,4,"Boston","25-34","55-64",45
"341",2013,2,"Boston","25-34","45-54",35
"342",2013,2,"Boston","35-44","55-64",35
"343",2013,1,"Boston","55-64","55-64",NA
"344",2013,1,"Boston","35-44","35-44",NA
"345",2013,3,"Boston","21-24","35-44",NA
"346",2013,2,"Boston","21-24","35-44",NA
"347",2013,2,"Boston","25-34","35-44",NA
"348",2013,2,"Boston","65-74","65-74",NA
"349",2013,2,"Boston","35-44","35-44",30
"350",2013,2,"Boston","25-34","25-34",NA
"351",2013,2,"Boston","35-44","35-44",NA
"352",2013,2,"Boston","35-44","35-44",NA
"353",2013,2,"Boston","21-24","55-64",NA
"354",2013,2,"Boston","35-44","35-44",NA
"355",2013,1,"Boston","25-34","25-34",NA
"356",2013,1,"Boston","25-34","25-34",NA
"357",2013,2,"Boston","18-20","35-44",35
"358",2013,4,"Boston","25-34","55-64",45
"359",2013,1,"Boston","21-24","21-24",45
"360",2013,1,"Boston","25-34","25-34",40
"361",2013,1,"Boston","55-64","55-64",20
"362",2013,2,"Boston","55-64","55-64",30
"363",2013,2,"Boston","35-44","55-64",45
"364",2013,2,"Boston","21-24","45-54",30
"365",2013,1,"Boston","65-74","65-74",35
"366",2013,1,"Boston","25-34","25-34",NA
"367",2013,2,"Boston","21-24","25-34",NA
"368",2013,2,"Boston","21-24","75-84",NA
"369",2013,3,"Boston","35-44","45-54",40
"370",2013,4,"Boston","18-20","18-20",30
"371",2013,2,"Boston","25-34","55-64",30
"372",2013,1,"Boston","55-64","55-64",55
"373",2013,2,"Boston","21-24","35-44",55
"374",2013,2,"Boston","18-20","21-24",30
"375",2013,1,"Boston","25-34","25-34",35
"376",2013,2,"Boston","21-24","55-64",NA
"377",2013,1,"Boston","35-44","35-44",NA
"378",2013,2,"Boston","35-44","45-54",NA
"379",2013,2,"Boston","21-24","25-34",45
"380",2013,4,"Boston","25-34","75-84",55
"381",2013,3,"Boston","18-20","18-20",NA
"382",2013,2,"Boston","45-54","45-54",30
"383",2013,1,"Boston","55-64","55-64",NA
"384",2013,1,"Boston","45-54","45-54",30
"385",2013,2,"Boston","21-24","65-74",NA
"386",2013,3,"Boston","25-34","25-34",NA
"387",2013,1,"Boston","35-44","35-44",30
"388",2013,2,"Boston","25-34","35-44",25
"389",2013,1,"Boston","21-24","21-24",NA
"390",2013,2,"Boston","35-44","35-44",NA
"391",2013,2,"Boston","35-44","45-54",55
"392",2013,3,"Boston","21-24","35-44",55
